,Song Name,Album Name,Group Name,Lyrics
179,Back to the World,Back to the World,Street Dogs,"I got to go back to the world Back to my girl Back to my family and kids Have to go and see my home again Don't want my life to end Before my time is due  Just got the postal package from my wife and kids It brings me comfort while I'm stuck in this desert mess But don't get me wrong, perform my mission Just sounding off on my homesick condition Got to get out, a short timer, my heart it begs for home    Seen many a firefight since we deployed out here Learned how to survive with my friends They're focus, adrenaline and fear But the odds haunt me, hope I don't get hit Be that body with a flag adorned to it I'm gonna make it, the short timer, hellbent on going home    I'm not a policy maker Just a sworn-in order taker Doing my best to stay alive I'm gonna make it To conus real soon Hope some days still lie ahead for me    I've gotta go back Too short to turn back Gotta go back Back to the world again"
180,Backdrop,Backdrop,The Fall,"The Leicester YOP, TEP, instructor Emerged from corridor His state-subsidized cannabis haze Moved reptilian in its all-levelling routine I said to him It's about time you started thinking About the black dog on your back Said it's about time you started thinking About the rerun which is your life Moveable backdrop The backdrop shifted and changed The Manchester regiment of the Stuarts Would not tread on your patch Got nearly down to Derby you know Was stopped by stinking Billy And rode a racing horse which I had liberated From a Tyneside lord I said to the men It's about time you started thinking About the black dog on your back It's about time you started thinking About the void in your life A military prison or worse The backdrop shifted and changed The  man's home is full of sperm And pulled down His  was kicked around As I did it I said to them The backdrop shifted and changed So did not even know what song it was What it was Who put the yellow pills in the Gordon's gin? The backdrop shifted and changed Until did not even know When the lot come up Bomb-hole in our schedule Who put the yellow pills in the Gordon's gin? The backdrop shifted and changed Till the reptillian TEP instructor merged With stinking Billy's morass of flesh And the Yorkies drifted 1902 Metropole The Yorkies  shifted and drifted I said to them The backdrop shifted and changed And this was The Fall Goodnight"
181,Backsell,Payola,Desaparecidos,"I was scanning through the stations Every channel sounded clear With tempo like a timepiece You know you are on a grid you just slide the snare No worries for admission Cause we got you on the list But when your boy found out we don’t put out You know his face turned red and he got so pissed  Now there is a message on my cell phone everyday “Hi, this is Luke Wood from DreamWorks” “This is Joel Mark from MCA”  Capitol! Send the A&R with a firm offer Interscope! If the answer is no you can write your own But the frenzy Britt warned me of has begun Their cash cow killed himself so they’re looking for the next one  I was glancing through a glossy I had to scribble out my face Because I’m always self-effacing Or I’m just arrogant I guess they both are fake Like when you listen back on headphones With a trickle in you throat You know it’s hard to sing and I’ve been struggling But with some Auto-Tune I can hit the note  So it’s 1-2-3-4-5-6-7-8 “You know that first note was flat but the rest I think sounded great”  Capitol! Trash the mobile home at the festival Interscope! Throw that big TV off the balcony Cause the excess excess is drying up So when the bottom drops out boys we will be the lucky ones"
182,Bad Boy,Joker in the Pack,The Adicts,"my mother told me off she said i had done wrong  she said id been a bad bad boy she said i make her sad she said i drive her mad and now she's taking all my toys  oh,I've been a bad bad boy oh,I've been bad oh,I've been a bad bad boy oh,I've been bad  and now she keeps me in I'm payin for my sin the door is locked i can't go out i have apologized oh,how I've really tried not to be a bad boy  oh,I've been a bad bad boy oh,I've been bad oh,I've been a bad bad boy oh,I've been bad  you tried to help me out but all we do is shout why should we act this way  my love for you is strong but i keep doing wrong ill always be a bad bad boy  oh,I've been a bad bad boy (bad bad boy) oh,I've been bad (x5)"
183,Bad Girl,French Kiss '74,New York Dolls,"A new bad girl, who get on my block I gave her my keys, said don't bother to knock I said c'mon, ya got what I need I said come on, don't make my heart bleed  (I'm beggin') Whoa bad girl, whatcha tryin' to do What is the matter with you Bad girl what are you tryin' to do  Cause I'm early in the mornin', not too late at night And you're tryin' to tell me everything's alright Then you're gonna ask am I gonna take it slow I said don't you worry there's no place to go (My bad girl)  I'm walkin' to the corner, to go in th cafe That's when I seen her, a'walkin' my way She's all dolled up, in her waitress' skirt I said c'mon, don't make my heart hurt  (I'm beggin') Whoah bad girl, whatcha tryin' to do What is the matter with you Bad girl what are you tryin' to do  With my twenty dollar bills,  And you can keep the change All you gotta do is get down in my range If you're gonna ask me am I gonna take it slow I said don't you worry there's no place I gotta go  (You're bad, bad, so bad)  (I'm beggin') Whoah bad girl, whatcha tryin' to do What is the matter with you Bad girl what are you tryin' to do  I'm beggin' please little lover, stop this carryin' on Gotta get some lovin' before the planet is gone If you're gonna ask me, am I gonna take ya home I says dontcha worry, there's no place I gotta go (My bad girl)  Hey bad girl, I know why you're bad But don't ya know, it just make me glad When everybodys gonna put you down Lookin' for your friends, I'll be around  (I'm beggin') Whoa bad girl, whatcha tryin' to do What is the matter with you Bad girl what are you tryin' to do  I'm beggin' please little lover, stop this carryin' on Gotta get some lovin' before the planet is gone A nuclear bomb, come an' blow us all away Come on bad girl give me some lovin' today  Right here Right now Bad Girl"
184,Bad Habit,Smash,The Offspring,Hey man you know I'm really okay The gun in my hand will tell you the same But when I'm in my car Don't give me no crap  'Cause the slightest thing and I just might snap When I go driving I stay in my lane But getting cut off makes me insane I open the glove box  Reach inside I'm gonna wreck this fucker's ride I guess I got a bad habit And it ain't goin' away Yeah  Well they say the road's a dangerous place If you flip me off I'm the danger you'll face You drive on my ass You're foot's on the gas  And your next breath is your last Drivers are rude Such attitudes But when I show my piece  Complaints cease Something's odd I feel like I'm God You stupid dumb shit god damn mother fucker  I open the glove box Reach inside I'm gonna wreck this fucker's ride
185,Bad Habits,Bad Habits,The Monks,"Bad habits Cheating at exams Bad habits Never washing hands Bad habits Smacking in their bugs Bad habits I won't do it again, uh oh Uh oh  Bad habits Buying dirty mags Bad habits Dodging in to flicks Bad habits Groping in the dark Bad habits I won't do it again, uh oh Uh oh  All these things They lower my resistance Don't think I can Stay the distance All these things they say are bad They feel so good to me, you know I just don't think I can Resist 'em  Bad habits Staying out all night  Bad habits Shouting at the kids Bad habits Beating up their wives Bad habits I won't do it again, uh oh Uh oh  I won't do it again I won't do it again I won't do it again I won't do it again  Bad habits Thieving from the poor Bad habits Robbing from the banks Bad habits Shooting at the law. Bad habits I won't do it again, uh oh Uh oh  I won't do it again, uh oh. Uh oh Bad habits I won't do it again, uh oh Uh oh Bad habits Never again  Fade"
186,Bad Idea,How Ace Are Buildings,A,"It was a bad idea But I had to follow through, She had no idea what I wanted to do It was a bad idea But I had to hit it anyway  Candy caught my eye when she walked by lookin' like a freak I leaned over kissed her on the cheek. I was being careful not to move too fast, But she smiled when I gave her a backstage pass. A real star fucker, she put me to the test, Then I noticed Doug Ray tattooed on her breast. I thought I was blessed to meet this treat Candy had a place right down the street. It didn't take long to achieve my goal And I lost control of mind, body, and soul.  It was a bad idea But I had to follow through, She had no idea what I wanted to do It was a bad idea But I had to hit it anyway  Let me tell you how I got my pumas stolen. It was a summer day and the sky was golden. I was having a slice down on University And in comes a cutie, about 5 foot 3 Caught her checkin' me out so I flashed a smile. Introduced myself 'cause that's my style. She said, ""Yeah I know you, I love your CD. I know all your rhymes, you're my favorite MC."" Quick to the point no time at all Snuck on in to her residence hall. In ten minutes flat we were both butt naked. She was screaming and yelling yo I just couldn't take it. Her roomate got pissed while we fucked in her bed, Bitch stole my pumas while I was getting head.  I can't believe I'm never gonna see you again, You were more than a lover, you were also a friend. The things I learned, in just one night, When I say goodbye, it'll be alright, alright, alright! Now people let me tell you 'bout this girl Suzanne, Met her at the bar and I was like god damn! She didn't have a man, no drink in her hand, Bought her a shot and took her back to the van. She was tall, slim, and tan. A White Owl fan, Asked if I would take part in some perverted plan? She dropped her skirt, she had another head. I lost my pride in that groupie's bed  It was a bad idea But I had to follow through, She had no idea what I wanted to do It was a bad idea But I had to hit it anyway"
187,Bad Kids,Good Bad Not Evil,Black Lips,Bad kids all my friends are bad kids Product of no dad kids Kids like you and me  Bad kids ain't no college grad kids Livin life out on the skids Kids like you and me  In class We are a minority Got no Respect for authority And won't Play well with others And steal From all your mothers They'll try To give us pills Oh wait Give us all the pills Go cry Mom I gotta go to court Dad won't Pay his child support  Well you gotta understand We only do these things because all we are is  Bad kids all my friends are bad kids Product of no dad kids Kids like you and me  Bad kids ain't no college grad kids Livin life out on the skids Kids like you and me  At home He throws a hissy fit Time out He doesn't give a shit Got drunk Off all of grandmas schnaps Got caught Runnin from the cops Toilet Paper on the yard Six f's On my report card Smoke cigs In the bathroom stall Spray paint Penis on the wall  Well you gotta understand We only do these things because all we are is  Bad kids all my friends are bad kids Product of no dad kids Kids like you and me  Bad kids ain't no college grad kids Livin' life out on the skids Kids like you and me
188,Bad Luck,Somewhere Between Heaven and Hell,Social Distortion,"Some people like to gamble, But you, you always lose. Some people like to rock 'n' roll, You're always singin' the blues You gotta nasty disposition, No one really knows the reason why, You gotta bad, bad reputation,  Gonna hang your head down and cry  You got bad, bad luck Bad, bad luck You got bad, bad luck Bad, bad luck  Thirteen's my lucky number, To you it means stay inside. Black cat done crossed my path, No reason to run and hide.  You're looking through a cracked mirror, No one really knows the reason why. Your enemies are gettin' nearer, Gonna hang down your head and cry  You got bad, bad luck Bad, bad luck You got bad, bad luck Bad, bad luck  Some people go to church on Sundays,  Others they pray at home.  You tell them that there ain't no God, That they're better off standin' alone. You're always scratchin' at the eight ball, No one really knows the reason why. You get to the top and then you fall,  Gonna hang down your head and cry."
189,Bad Man,"Greatest Hits, Vol. 1",Cockney Rejects,"So you, you tell me, why you always let me down? And you, you tell me, why you give me the run around? There's no answer for half the things that you've done So just you remember that I'll always owe you one  You're a badman  One day, you'll realize just what you've done to me And one day you'll realize what you've done to your family Yeah, you've gotta, gotta be the worse player in the league Everyone, they know that you never buy a round  You're a badman  You treat your mother as bad as bad could be You even pay your deadly debts out of the gas money You ain't got much ball control, your own biggest fan So just you remember, you're a dirty, no good bad man  You're a badman, you're a badman  Go on, pinch your old man's money, go on Don't turn out for the football, you're a badman Leave your bird on her own, never tell her anything Never give her no money to buy either, you're a badman You're dirty, you're no good, you're a rotter and we all know that  You're a badman, you're a badman"
190,Bad Man!,The Very Best of Cockney Rejects,Cockney Rejects,"So you you tell me why you always let me down And you you tell me why you give me the run-around There's no answer for half the things that you've done So just you remember that I'll always owe you one  You're a badman One day you'll realise just wot you've done to me And one day you'll realise wot you've done to your family Yeah you've gotta, gotta be the worse player in the league  Everyone they know that you never buy a round You're a badman You treat your mother as bad as bad could be You even pay your deadly debts out of the gas money  You ain't got much ball control, your own biggest fan So just you remember you're a dirty no good bad man You're a badman, you're a badman Go on pinch your old man's money go on  Don't turn out for the football, you're a badman Leave your bird on her own, never tell her anything Never give her no money to buy either, you're a badman Your dirty. your no good, you're a rotter  And we all know that, you're a badman You're a badman"
191,Bad Religion,How Could Hell Be Any Worse? [Bonus Tracks],Bad Religion,"See my body, it's nothing to get hung about. I'm nobody except genetic runaround. Spiritual era's gone, it ain't comin' back. Bad Religion, a copout, that is all that's left Hey Mr. Mime, stop wasting my time, With your factory precision. Factory precision is your Bad Religion, regurgitate Indecision, it's not too late. Bad Religion, Bad Religion. Ay! Don't you know the place you live's a piece of shit? Don't you know blind faith through lies won't conquer it Don't you know responsibility is ours? I don't care a think about eternal fires. Listen this time, it's more than a rhyme, It's your indecision. Your indecision is your Bad Religion, regurgitate Indecision, it's not too late. Bad Religion, regurgitate Indecision, it's not too late. Bad Religion, Bad Religion, Bad Religion."
192,Bailare Sobre Tu Tumba,Bailare Sobre Tu Tumba [Bonus Tracks],Siniestro Total,Te mataré con mis zapatos de claqué Te axfisiaré con mi malla de ballet Te ahorcaré con mi smoking Why morirás mientras se ríe el disc-jokey Why bailaré sobre tu tumba Why bailaré sobre tu tumba Te degollaré con un disco afilado De los Rolling Stones o de los Shadows Te tragarás la colección de cassettes De las Shangri-las o las Ronettes Why bailaré sobre tu tumba Why bailaré sobre tu tumba Te clavaré mi guitarra Te aplastaré con mi piano Te desollaré con mis platillos Te trepanaré con mi órgano Hammond Why bailaré sobre tu tumba Why bailaré sobre tu tumba Why bailaré sobre tu tumba Why bailaré sobre tu tumba
193,Baile de los Locos,Baile de Los Locos,Voodoo Glow Skulls,"cuando la musica empieza a tocar y el cantante empieza cantar el sonido del bajo como teblor con trombone, trompeta y saxaphone aye viene el diablo y quiere jugar la vocina de guitarra lo ase bailar los tamborasos despiertan los muertos pura locura esta noche el baile de los locos..... el ritmo te va matar el baile de los locos..... no lo puedes escapar el cuarto se liena con muchas cabezas comienza sentir como un infierno todo el aire se esta acabando solamente los locos subreviven   translation: when the musica begins to touch and the singer begins to sing the sound of the low one like teblor with trombone, trompeta and saxaphone aye comes the devil and wants to play the vocina of guitar roasts it to dance the tamborasos wake up deads pure madness tonight the dance of the crazy people..... the rate goes to you to kill the dance of the crazy people..... it you cannot save the liena quarter with many heads is begun to feel as a hell all the air this only finishing the crazy people subreviven"
194,Ball and Chain,Social Distortion,Social Distortion,"Well it's been ten years, and a thousand tears And look at the mess I'm in A broken nose and a broken heart, An empty bottle of gin Well I sit and I pray In my broken down Chevrolet While I'm singin' to myself There's got to be another way  Take away, take away Take away this ball and chain I'm lonely and I'm tired And I can't take any more pain Take away, take away Never to return again Take away, take away Take away this ball and chain  Well I've searched and I've searched To find the perfect life- A brand new car and a brand new suit I even got me a little wife But wherever I have gone I was sure to find myself there You can run all your life But not go anywhere  Take away, take away Take away this ball and chain I'm lonely and I'm tired And I can't take any more pain Take away, take away Never to return again Take away, take away Take away this ball and chain  Well I'll pass the bar on the way To my dingy hotel room I spent all my money Been drinkin' since a half past noon I'll wake there in the mornin' Or maybe in the county jail Times are hard getting harder I'm born to lose and destined to fail  Take away, take away Take away this ball and chain I'm lonely and I'm tired And I can't take any more pain Take away, take away Never to return again Take away, take away Take away this ball and chain"
195,Ball of Destruction,Demonstrating My Style,Madball,You wanna try and f*ck with me And disrespect my family You wanna judge the way I live And you don't even know me  You'll never understand our hate It doesn't matter anyway Never understand our kind Try to disrespect what's mine  Your words don't mean a thing to me Your living in a fantasy Now we have no more to say We'll get about it our way  Game has gone far enough And it's time we put it to an end We're comin' out with all we got  Time is runnin' out fast Adn you're the only one to blame We're comin' out with all we got You won't forget our name
196,Ballast Der Republik,Noches Como Estas: Live in Buenos Aires,Die Toten Hosen,"Ein ganzes Land kniet nieder Und sagt „Es tut uns Leid!"" Wir geben zu, wir haben den Krieg verloren Das das ist jetzt vorbei Uns ist klar, wir müssen büßen Damit Ihr uns verzeiht Die Nation wird ausgewürfelt Und dann durch zwei geteilt Die einen Saufen Coca Cola Die anderen fressen Mauerstein Hier feiert man Wirtschaftswunder Und da den ersten Mai  Doch jeden Tag besucht uns Derselbe Parasit Alle tragen auf ihren Schultern Den Ballast der Republik  Die alten Panzer sind verrostet Wir sind wieder vereint Heute quälen uns noch mehr Sorgen Die Kohle wird verheizt Wir haben keine Zeit mehr Für Politik und Religion Wenn wir an Götter glauben Dann tragen sie Trikots  Doch jeden Tag besucht uns Derselbe Parasit Im Kopf und auf den Schultern Den Ballast der Republik  Es ist wie Pech, das an uns klebt Der Ballast der Republik Ballast der Republik  In Clubs und auf den Straßen Alle haben es so satt Man tanzt bis in den Morgen Doch die Sorgen fallen nicht ab Und alle schieben Hass Es ist der alter Parasit Im Kopf und auf den Schultern Der Ballast der Republik  Es ist wie Pech, das an uns klebt Der Ballast der Republik Ballast der Republik  Wie Pech das an uns klebt, Der Ballast der Republik."
197,Banana Man,Bananaman,Ghoti Hook,"He might just look a little bit kooky But he thinks that's okay He needs a job to pay off his mortgage and his chevrolet If tricks you want then he ain't your person All he does is stand Except the time when he is running from the policeman Ah....Ah....Ah....yeah  Banana Man! 1 2 3! Banana Man! I'm Banana Man! Banana Man! Dance with me! Whoa, Oh! Banana Man! 1 2 3! Banana Man! I'm Banana Man! Banana Man! Dance with me! Whoa, Oh!  It might surprise you he went to college And got his degree It's hard to find a job with a major in plant psychology His identity he tries to keep secret But not because he's great Cause the girls will just keep on laughing And he'll never get a date  Ah....Ah....Ah....Yeah! Banana Man! 1 2 3! Banana Man! I'm Banana Man! Banana Man! Dance with me! Whoa, Oh! Banana Man! 1 2 3! Banana Man! I'm Banana Man! Banana Man! Dance with me! Whoa, Oh!  Banana Man! 1 2 3! Banana Man! I'm Banana Man! Banana Man! Dance with me! Whoa, Oh! Banana Man! 1 2 3! Banana Man! I'm Banana Man! Banana Man! Dance with me! Whoa....oh....yeah!"
198,Banana Splits (The Tra La La Song),The Incredible Shrinking Dickies,The Dickies,Tra la la tra la la la Tra la la tra la la la Tra la la tra la la la Tra la la tra la la la  One banana two banana three banana four All bananas make a split so do many more Over hill and highway the banana buggies go Come along to bring you the banana splits show  Four banana three banana two banana one All bananas playing in the bright warm sun Flipping like a pancake popping like a cork Fleagle bingo drooper and snork  Making up a mess of fun Making up a mess of fun Making up a mess of fun Lots of fun for everyone  Four banana three banana two banana one All bananas playing in the bright warm sun Flipping like a pancake popping like a cork Fleagle bingo drooper and snork
199,Bang Bang,Bang Bang,Green Day,"This is definitely not the first video to surface of an execution of men They claimed responsibility for the executions Described as severely mentally disturbed Videos show another hostage executed by the terrorist group Deserve to be annihilated  I get my kicks and I want to start a rager I want to dance like I'm on the video I got a fever for the violent behavior I'm sweating bullets like a modern Romeo  Bang bang give me fame Shoot me up to entertain I am a semi-automatic lonely boy You're dead I'm well fed Give me death or give me head Daddy's little psycho and mommy's little soldier  I testify like a lullaby of memories Broadcasting live and it's on my radio I got my photo bomb, I got my vietnam I love a lie just like anybody else  Bang bang give me fame Shoot me up to entertain I am a semi-automatic lonely boy You're dead I'm well fed Give me death or give me head Broadcasting from my room and playing with my toys  I want to be a celebrity martyr The leading man in my own private drama Hurrah (bang bang), hurrah (bang bang) the hero of the hour Daddy's little psycho and mommy's little soldier  I want to be like the soldiers on the screen It's my private holy war Oh baby baby this is viva vendetta For this is love or it's world war zero  I want to be a celebrity martyr The little man in my own private drama Hurrah (bang bang), hurrah (bang bang) the hero of the hour Daddy's little psycho and mommy's little soldier  I want to be a celebrity martyr The little man in my own private drama Hurrah (bang bang), hurrah (bang bang) the hero of the hour Daddy's little psycho and mommy's little soldier"
200,Banner of Hope,The Punk Singles Collection,Abrasive Wheels,"Angry young voices cry  There's a new sun burning in the sky Saying listen to your heart And not to the people tearing you apart The message is here upon our lips Listen for once, ignore your hip  We hold the banner United hand in hand The banner of hope For a truce across the land  This generation Holds the banner to the eyes of the nation Like two lovers reaching out In their minds no dark shadows of dread or doubt  We hold the banner United hand in hand The banner of hope For a truce across the land"
201,Banshee (Ghost Fame),The Blackest Beautiful,Letlive,"Well I have to swallow pride, but it's making sick Well I have to swallow pride until I'm sick We're here to fulfill every one of your dreams A small nominal fee It only costs you your soul  They say the older the bullshit, the more offensive the horn It's another trick, another matador (I don't want to be that) If you can take that, then you can fake that Until you grow a new mouth to say ""I hate the ones that you adore""  Swallow pride until you feel sick My stomach hates that, hates the bitter taste of the truth Well I swallowed pride until I felt sick Bulimia tastes better when you swallow the truth  If you're equating fame to religion, then where's your faith at? Go ahead and sell yourself when in rome (Now I finally see that) You can make it- nah, but you can fake it Although that skin is uncomfortable I'd rather show some skin than bear my soul I am the man that existed the year that hell got cold Now that I'm mature enough to feel devil's touch We're going to f*ck until we're numb  How you like that? How you like me now?  We drove a hearse into the crowd and took the willing A leap of faith with a foot on the ground to wait for you When they say ""go"" I will say ""no"""
202,Banshee [Ghost Fame],Banshee [Ghost Fame],Letlive,"Well I have to swallow pride, But it's making me sick. Well I have to swallow pride, It's making me make, Oh! Well I have to swallow pride, But it's making me sick. Well I have to swallow pride, I'm sick.  (You want to do one where you run into where the thing would be? Where the song would go)  We're here to fulfill every one of your dreams. A small nominal fee, it only costs you your soul.  (When they say, when they say) Good (I will say, I will say)  They say, ""The older the bullshit, the more offensive the horn, It's another trick, another matador. (I don't want to be that) If you can take that, then you can fake that Until you grow a new mouth to say I hate the ones that you adore.  Oh yeah, Swallow pride 'til you feel sick. My stomach hates the, hates the bitter taste of the truth. Well I swallowed pride 'til I felt sick. Bulimia tastes better when you swallow the truth.  If you're equating fame to religion, Then where your faith at? Where your faith at? Go ahead and sell yourself when in Rome. (Now I finally see that) You can make it, now, But you can fake it, That skin is uncomfortable. I'd rather show some skin than bear my soul.  I am the man that existed the year that Hell got cold, Now that I'm mature enough to feel devil's touch, We're gonna f*ck until we're numb.  Until we're numb.  Oh yeah, Swallow pride 'til you feel sick. My stomach hates the, hates the bitter taste of the truth. Well I swallowed pride 'til I felt sick. Bulimia tastes better when you swallow the truth.  How you like that? How you like me now? How you like that? How you like me now, bitch?  We drove a hearse into the ground and took the willing, A leap of faith with a foot on the ground to wait for you,  When they say, When they say, When they say, go, I will say, I will say, no.  When they say, When they say, When they say, go, I will say, I will say, no.  Oh yeah, Swallow pride 'til you feel sick. My stomach hates the, hates the bitter taste of the truth. Well I swallowed pride 'til I felt sick. Bulimia tastes better when you swallow the truth."
203,Bar-X the Rocking M,Stag,Melvins,"Come big slide across bitter by hiding hold a hail Sit down and hold this town in fever This mind is most of all, like a vulture on a nail And now he knows distorting feeler hell This time he knows distorting  Be now the first of all, by the low end on avoid It's a pig, it's an eye, it's a soul, it's a seether Big eye and hold it all, by the riding on a head Dig down the voice distorting feeler hell Chicks hide the most distorting"
204,Bar-X-the Rocking M,Alive at the F*cker Club,Melvins,"Come big slide across bitter by hiding hold a hail Sit down and hold this town in fever This mind is most of all like a vulture on a nail And now he knows distorting feeler hell This time he knows distorting  Be now the first of all, by the low end on avoid It's a pig, it's an eye, it's a soul, it's a seether Big eye and hold it all, by the riding on a head Dig down the voice distorting feeler hell Chicks hide the most distorting"
205,Barfly,On a Mission,Buck-O-Nine,these are the hard times These are the good times These are the fine times The keep me in line times Until you went away Now these are the hey days The never get laid days The play with myself And forget about my health days Won't you come back to me I love the way you walk The way you smile The way you talk And I love The way you torture me Now I'm a barfly I wish that I could die I never thought it would be this way And I can't understand why Why you went away Its so mysterious Makes me delirious Sometimes I'm curious But all around furious Won't you come back to me
206,Barrier,Barrier [U.S. EP],China Drum,"Listen, Is everything such a thrill? Even dipping your fingers in somebody's till? Heaven, ..."
207,Basket Case,Take 2,Green Day,Do you have the time to listen to me whine About nothing and everything all at once I am one of those Melodramatic fools Neurotic to the bone No doubt about it  Sometimes I give myself the creeps Sometimes my mind plays tricks on me It all keeps adding up I think I'm cracking up Am I just paranoid? Or am I just stoned  I went to a shrink To analyze my dreams She says it's lack of sex that's bringing me down I went to a whore He said my life's a bore So quit my whining cause it's bringing her down  Sometimes I give myself the creeps Sometimes my mind plays tricks on me It all keeps adding up I think I'm cracking up Am I just paranoid? A ya-ya-ya  Grasping to control So I better hold on  Sometimes I give myself the creeps Sometimes my mind plays tricks on me It all keeps adding up I think I'm cracking up Am I just paranoid? Or am I just stoned?
208,Bastards,Viking,Lars Frederiksen,"Craig Leg broke his fuckin leg like a man Drank a 40 ounce and he felt no pain Gordy drank so much he forgot where his car was So he drank some more and forgot where the bar was When Big Jay fights he goes outta his mind He likes to fight 4 or 5 guys at a time We're bad boys and we're back in town With D-Hodge at the wheel and Tim A. with the sound We're bastards! Kings of rock & roll Me Scotty, Craig, Jay, Gordy fuckin' roll into town after town with a trailer in tow Scotty plays his drums till his hands fuckin bleed Find him backstage with a bag full of weed Rock and Roll isn't played by nice boys Bastards play street punk rock and roll We're bad boys, yea and we're back in town With D-Hodge at the wheel and Tim A. with he sound We're bastards! Kings of rock & roll"
209,Be My Baby,Intravenus,The Bates,"The night we met I knew I needed you so  And if I had the chance I'd never let you go  So won't you say you love me  I'll make you so proud of me  We'll make 'em turn their heads  Every place we go  So won't you please   (Be my be my baby) Be my little baby  (I want it only say) Say you'll be my darling  (Be my be my baby) Be my baby now  (I want it only say) Ooh, ohh, ohh, oh   I'll make you happy, baby  Just wait and see  For every kiss you give me  I'll give you three  Oh, since the day I saw you  I have been waiting for you  You know I will adore you  Till eternity  So won't you please   (Be my be my baby) Be my little baby  (I want it only say) Say you'll be my darling  (Be my be my baby) Be my baby now  (I want it only say) Ooh, ohh, ohh, ohh, oh     So come on and please  (Be my be my baby) Be my little baby  (I want it only say) Say you'll be my darling  (Be my be my baby) Be my baby now  (I want it only say) Ooh, ohh, ohh, oh   (Be my be my baby) Be my little baby  (I want it only say) Ooh-oh-oh-oh, ooh-oh-oh-oh  (Be my be my baby) Oh-oh-oh, oohh...  (I want it only say) Oh, oh, oh, oh, oooohh..."
210,Be The One,Be the One,Lucky 7,As I think about the past and all the fun we've had. We'd eat at Denny's after three and watch the real world on MTV. And I'd take you to the shows where everybody goes. I'll tattoo your name on my sleeve. ...
211,Beat 'Em Up,Beat Em Up,Iggy Pop,"You gotta beat em Beat beat em up You gotta beat em Beat beat em up You gotta beat em Beat beat em up Beat em up Beat em up You gotta beat em You gotta beat em You know they're cheatin' anyhow You gotta beat em You gotta beat em You know they're cheatin' anyhow You gotta beat em Beat em up  This life is a numbers game, The rich the ive, the poor get blamed The rich are happy , and they're mean, The poor, just obscene  You gotta beat em You gotta beat em You know they're cheatin' anyhow I gotta beat em I gotta beat em You know they're cheatin' anyhow You gotta beat em Beat beat beat em up I gotta beat em Beat beat beat em up I gotta beat em Beat beat beat em up Beat em up Beat em up  Nice girl with a heart of gold A little naive, a little bold Knocked' up tossed' out and abondoned, Now she's living on random  You gotta beat em You gotta beat em You know they're cheatin' anyhow She got beat up She got beat up You know they're cheatin' anyhow You gotta beat em Beat beat beat em up You gotta beat em Beat em up  Mom and dad worked and saved, Good and honest everyday For they're sweat , what did they get ? An old age home and a medical debt  You gotta beat em You gotta beat em You know they're cheatin' anyhow They got beat up They got beat up You know they're cheatin' anyhow You gotta beat em Beat beat beat em up I gotta beat em Beat beat beat em up  Come on' Come on'  We live in a machine, machine, We live in a machine, machine, We can't keep up with a machine"
212,Beat Em Up,Beat Em Up,Iggy Pop,"You gotta beat em Beat beat em up You gotta beat em Beat beat em up You gotta beat em Beat beat em up Beat em up Beat em up You gotta beat em You gotta beat em You know they're cheatin' anyhow You gotta beat em You gotta beat em You know they're cheatin' anyhow You gotta beat em Beat em up  This life is a numbers game, The rich the ive, the poor get blamed The rich are happy , and they're mean, The poor, just obscene  You gotta beat em You gotta beat em You know they're cheatin' anyhow I gotta beat em I gotta beat em You know they're cheatin' anyhow You gotta beat em Beat beat beat em up I gotta beat em Beat beat beat em up I gotta beat em Beat beat beat em up Beat em up Beat em up  Nice girl with a heart of gold A little naive, a little bold Knocked' up tossed' out and abondoned, Now she's living on random  You gotta beat em You gotta beat em You know they're cheatin' anyhow She got beat up She got beat up You know they're cheatin' anyhow You gotta beat em Beat beat beat em up You gotta beat em Beat em up  Mom and dad worked and saved, Good and honest everyday For they're sweat , what did they get ? An old age home and a medical debt  You gotta beat em You gotta beat em You know they're cheatin' anyhow They got beat up They got beat up You know they're cheatin' anyhow You gotta beat em Beat beat beat em up I gotta beat em Beat beat beat em up  Come on' Come on'  We live in a machine, machine, We live in a machine, machine, We can't keep up with a machine"
213,Beat on the Beat,Greatest Hits,Ramones,"Beat on the brat Beat on the brat Beat on the brat with a baseball bat Oh yeah, oh yeah, uh-oh  Beat on the brat Beat on the brat Beat on the brat with a baseball bat Oh yeah, oh yeah, uh-oh Oh yeah, oh yeah, uh-oh  What can you do? What can you do? With a brat like that always on your back What can you lose?  What can you do? What can you do? With a brat like that always on your back What can you lose, lose?  Beat on the brat Beat on the brat Beat on the brat with a baseball bat Oh yeah, oh yeah, uh-oh  Beat on the brat Beat on the brat Beat on the brat with a baseball bat Oh yeah, oh yeah, uh-oh Oh yeah, oh yeah, uh-oh  What can you do? What can you do? With a brat like that always on your back What can you lose?  What can you do? What can you do? With a brat like that always on your back What can you lose, lose?"
